SKU,DESCRIPTOR,ENVASE,PRECIO
773912,Clean - 1 Litro - Naranja,Botella PET,8.01
838819,"Clean - 1,5 Litros - Naranja",Botella PET,12.01
1037797,Clean - 2 Litros - Naranja,Botella PET,16.01
812829,Clean - 350 ml - Naranja,Lata,2.81
479745,Clean - 470 ml - Naranja,Botella de Vidrio,3.77
695594,"Festival de Sabores - 1,5 Litros - Asaí",Botella PET,28.51
243083,"Festival de Sabores - 1,5 Litros - Maracuyá",Botella PET,10.51
1022450,Festival de Sabores - 2 Litros - Asái,Botella PET,38.01
231776,Festival de Sabores - 700 ml - Asaí,Botella de Vidrio,13.31
723457,Festival de Sabores - 700 ml - Maracuyá,Botella de Vidrio,4.91
746596,"Light - 1,5 Litros - Sandía",Botella PET,19.50
1040107,Light - 350 ml - Sandía,Lata,4.55
1002334,Línea Citrus - 1 Litro - Lima/Limón,Botella PET,7.00
1041119,Línea Citrus - 700 ml - Lima/Limón,Botella de Vidrio,4.90
1088126,Línea Citrus - 1 Litro - Limón,Botella PET,7.00
1042712,Línea Citrus - 700 ml - Limón,Botella de Vidrio,4.90
520380,Pedazos de Frutas - 1 Litro - Manzana,Botella PET,12.01
788975,"Pedazos de Frutas - 1,5 Litros - Manzana",Botella PET,18.01
229900,Pedazos de Frutas - 350 ml - Manzana,Lata,4.21
1086543,Refrescante - 1 Litro - Mango,Botella PET,11.01
1101035,Refrescante - 1 Litro - Frutilla/Limón,Botella PET,9.01
326779,"Refrescante - 1,5 Litros - Mango",Botella PET,16.51
1096818,Refrescante - 700 ml - Mango,Botella de Vidrio,7.71
826490,Refrescante - 700 ml - Frutilla/Limón,Botella de Vidrio,6.31
394479,Sabor da Montaña - 700 ml - Cereza,Botella de Vidrio,8.41
783663,Sabor da Montaña - 700 ml - Frutilla,Botella de Vidrio,7.71
1000889,Sabor da Montaña - 700 ml - Uva,Botella de Vidrio,6.31
544931,Verano - 350 ml - Limón,Lata,2.46
235653,Verano - 350 ml - Mango,Lata,3.86
1051518,Verano - 470 ml - Limón,Botella de Vidrio,3.30
1078680,Verano - 470 ml - Mango,Botella de Vidrio,5.18
1004327,"Vida del Campo - 1,5 Litros - Sandía",Botella PET,19.51
1002767,Vida del Campo - 700 ml - Cereza/Manzana,Botella de Vidrio,8.41
1013793,Vida del Campo - 2 Litros - Cereza/Manzana,Botella PET,24.01
290478,Vida del Campo - 350 ml - Sandía,Lata,4.56
